title_sv,title_en,short,starts_at,ends_at,dot,all_day,location_sv,location_en,drink,food,cash,description_sv,description_en
Orange tisdag,Orange Tuesday,,2017-09-05 06:00:00,2017-09-05 23:59:00,,true,Hela LTH,Hela LTH,false,false,false,Orangetisdag! En favorit i repris! Passa på att visa upp dina snyggaste märken!,Description missing
Kårkamp,Battle of the guilds,,2017-09-05 12:00:00,2017-09-05 13:00:00,,false,AMfiteatern,AMfiteatern,false,true,false,Kårkamp. Nu är det dags att visa upp att f är bäst och vackrast genom tävlingar och lek med de andra sektionerna. Kåren säljer enklare mat men själva eventet är gratis.,Description missing
"Kårestival, Märquespikniquen, Märkesmålning",Kårestival and Märquespikniquen,,2017-09-05 15:00:00,2017-09-05 18:00:00,,false,"Utanför Mattehuset, Amfiteatern, Gasquesalen","Utanför Mattehuset, Amfiteatern, Gasquesalen",false,true,false,"Kårestival. Kårestivalen är ett perfekt event för att upptäcka hela Teknologkåren. Varje utskott, förening och även Lunds nationer kommer att erbjuda en lek, show, utmaningeller liknande för att visa vad just dem gör för studenterna. Mat kommer att finnas till försäljning. Märquespikniquen. Ett exemplariskt tillfälle att köpa märken från de andra sektionerna.",Description missing
"Ericsson, lunchföredrag","Ericsson, lunch lecture",,2017-09-06 12:00:00,2017-09-06 13:00:00,,false,MH:R,MH:R,false,true,false,Lunchföredrag med Ericsson. Kom och lyssna på spännande föredrag! Ericsson bjuder även på lunch.,Description missing
Pluggkväll,Study time,,2017-09-06 17:00:00,2017-09-06 20:00:00,single,false,Fysicum,Fysicum,false,true,false,Pluggkväll. Kom och plugga med dina vänner och faddergrupp tillsammans med studierådet. Studierådet bjuder hungriga studenter på mat!,Description missing
Pluggföstid,Study time,,2017-09-07 17:00:00,2017-09-07 19:00:00,,false,MH,MH,false,false,false,Pluggföstid,Description missing
Jesperspexet,Jesperspexet,,2017-09-07 18:00:00,2017-09-07 21:00:00,,false,AF-Borgen,AF-Borgen,false,false,true,Jesperspexet!,Description missing
ÖFS och Cheer-tävling,ÖFS and Cheer-competition,,2017-09-08 17:00:00,2017-09-08 20:00:00,,false,Vid Sjön Sjön,Vid Sjön Sjön,false,false,false,"ÖverFösStafetten. Sektionerna tävlar i ett maffigt triathlon runt sjön Sjön. Kom och heja F-sektionen till en storslagen seger. Cheertävling, för att bevisa vilken sektion som har de mest peppade medlemmarna blir det en cheertävling.",Description missing
Utomhussittingen,Outdoor sittning,,2017-09-08 20:00:00,2017-09-09 02:00:00,,false,På gräset utanför MH,På gräset utanför MH,false,true,true,Utomhussittning. En fantastisk sittning utanför mattehuset. Allt börjar efter tävlingarna.,Description missing
Sillafrukost,Herring breakfast,,2017-09-09 08:00:00,2017-09-09 10:00:00,,false,MH,MH,false,true,false,Sillafrukost som styrelsen bjuder på för att Nollan skall orka med den magiska dag som väntar. Klädkod: Overall.,Description missing
Nollelördagen,Nollesaturday,,2017-09-09 10:00:00,2017-09-09 15:00:00,,true,Lundagård,Lundagård,false,true,false,Nollelördagen är äntligen här. En stor folkfest i Lundagård för alla studenter på LTH. Sektionerna möts i tre tävlingar. Missa inte denna galna tillställning! Mat kommer att finnas till försäljning. Klädkod: Overall.,Description missing
"En FeD resa, Sittning med D",Sittning with D,,2017-09-09 18:00:00,2017-09-09 22:00:00,double,false,MH,MH,true,true,true,En fed resa. Vi firar utkomsten av dagens tävlingar med en fantastisk finsittning tillsammans med -sektionen. Klädkod: Kavaj eller temaenligt,Description missing
Champagnefrukost,Champagnebreakfast,,2017-09-10 10:00:00,2017-09-10 12:00:00,,false,Katedralskolan,Katedralskolan,true,false,false,"Champagnefrukost! Börja dagen med lite bubbel som Nämnden bjuder på och ladda upp inför det stora sjöslaget, Regattan. Klädkod hela dagen: Overall.",Description missing
Regattatåg,Regattatåg,,2017-09-10 12:00:00,2017-09-10 14:00:00,,false,Från Katedralskolan till Sjön Sjön,Från Katedralskolan till Sjön Sjön,false,false,false,Regattatåg! Alla sektioner på LTH tågar gemensamt i parad längs Lunds gator. Mycket spektakulärt och minst sagt uppseendeväckande!,Description missing
Regattan,Regattan,,2017-09-10 14:00:00,2017-09-10 16:30:00,,false,Sjön Sjön,Sjön Sjön,false,false,false,"Regattan. Det är dags för Regattan! Sjöslag
i sjön Sjön om vilka sektioner som har de
bästa nollorna på LTH. Lätt för oss att veta,
men dags att visa alla andra! Kom och
kämpa för -sektionens ära!",Description missing
Regattafest (eftermiddagsfest),Regattaparty,,2017-09-10 16:30:00,2017-09-10 20:00:00,,false,Gasquesalen,Gasquesalen,false,false,true,"Regattafest. Finaloverallfesten med alla
sektionerna för att fira dagens strapatser.",Description missing
Unionen bjuder på grillkväll,BBQ night with Unionen,,2017-09-11 17:00:00,2017-09-11 19:00:00,,false,MH,MH,false,true,false,"Unionen bjuder in till grillkväll. Kom och
lyssna till hur du blir framgångsrik på
LinkedIn, är av grillbufféen de bjuder på
samt delta på deras efterföljande aktiviteter.",Description missing
Orangetisdag,Orange Tuesday,,2017-09-12 06:00:00,2017-09-11 23:00:00,,true,Överallt,Överallt,false,false,false,"Orangetisdag
Succén fortsätter! Var sydde du på helgens
regattamärke?",Description missing
Kårkamp,Battle of the guilds,,2017-09-12 12:00:00,2017-09-12 13:00:00,,false,Amfiteatern,Amfiteatern,false,true,false,"Kårkamp. Nu är det dags att visa upp att
är bäst och vackrast genom tävlingar och
lek med de andra sektionerna. Kåren säljer
enklare mat men själva eventet är gratis.",Description missing
WaDerloo,WaDerloo,,2017-09-12 17:00:00,2017-09-12 19:00:00,,false,Gräsmattan utanför A-huset,Gräsmattan utanför A-huset,false,false,false,"WaDerloo - Ett stort vattenkrig mot de andra
sektionerna.
Klädkod: Overall",Description missing
Pluggkväll,Study time,,2017-09-13 17:00:00,2017-09-13 20:00:00,single,false,Fysicum,Fysicum,false,true,false,"Pluggkväll. Kom och plugga med dina
vänner och faddergrupp tillsammans med
studierådet. Studierådet bjuder hungriga
nollor på mat!",Description missing
Spelkväll med FISK,Game night,,2017-09-13 20:00:00,2017-09-13 22:00:00,,false,MH,MH,false,false,false,"Spelkväll! Välkommen på spelkväll med
FISK, LTH:s mysigaste spelförening! Vare
sig du är rutinerad brädspelare sedan tidigare
eller nyfiken på att prova något nytt är det hit
du ska simma!",Description missing
"Combine, lunchföredrag","Combine, lunch lecture",,2017-09-14 12:00:00,2017-09-14 13:00:00,,false,MH:R,MH:R,false,true,false,"Lunchföredrag med Combine. Kom och
lyssna på Combine när de pratar om sin
verksamhet och om vad de sysslar med, det
bjuds på lunch!",Description missing
Pluggföstid,Study time,,2017-09-14 17:00:00,2017-09-14 19:00:00,,false,MH,MH,false,false,false,Pluggföstid,Description missing
Actic CIrkelträning,Actic circut training,,2017-09-14 19:00:00,2017-09-14 21:00:00,,false,Actic Olympen (Sparta),Actic Olympen (Sparta),false,false,false,"Cirkelträning med Actic. Actic bjuder in
till ett cirkelträningspass i gymmet enbart
för F-sektionens medlemmar. Kom oavsett
form och få en bra start på tränivngen nu när
nollningen närmar sig sitt slut.",Description missing
Förfesten,Preparty,,2017-09-15 14:00:00,2017-09-15 15:00:00,,false,Utanför MH,Utanför MH,false,false,false,"Lunds universitet fyller 350 år och arrangerar
fest!",Description missing
